t_ms,speed_fb,iq,speed_ref
352.0,50.827736,0.013409,50.000000,0.000285
353.0,51.044125,0.007357,50.000000,0.000194
354.0,51.154549,0.001821,50.000000,0.000133
355.0,51.215343,0.001512,50.000000,0.000094
356.0,51.287300,0.004043,50.000000,0.000073
357.0,51.277077,0.000926,50.000000,0.000063
358.0,50.542389,0.001442,50.000000,0.000320
359.0,51.077419,0.011164,50.000000,0.000126
360.0,50.610714,0.002338,50.000000,0.000283
361.0,50.551495,0.010728,50.000000,0.000309
362.0,50.660492,0.010730,50.000000,0.000271
363.0,50.096920,0.008872,50.000000,0.000471
364.0,50.113861,0.018558,50.000000,0.000482
365.0,50.323605,0.016144,50.000000,0.000404
366.0,50.636303,0.014703,50.000000,0.000301
367.0,50.152912,0.009396,50.000000,0.000469
368.0,50.180553,0.017917,50.000000,0.000469
369.0,50.378757,0.015645,50.000000,0.000390
370.0,50.641766,0.012165,50.000000,0.000288
371.0,50.177082,0.010468,50.000000,0.000459
372.0,50.166176,0.015370,50.000000,0.000460
373.0,50.410297,0.016903,50.000000,0.000383
374.0,50.667854,0.012092,50.000000,0.000284
375.0,50.903198,0.008876,50.000000,0.000195
376.0,51.067112,0.004818,50.000000,0.000125
377.0,51.185654,0.003425,50.000000,0.000078
378.0,51.249454,0.000000,50.000000,0.000049
379.0,51.998913,-0.000698,50.000000,-0.000229
380.0,51.435165,-0.011622,50.000000,-0.000047
381.0,51.165634,-0.001552,50.000000,0.000050
382.0,50.314896,0.000000,50.000000,0.000350
383.0,50.111835,0.011876,50.000000,0.000422
384.0,49.525242,0.014965,50.000000,0.000635
385.0,49.647377,0.025153,50.000000,0.000612
386.0,50.018906,0.021462,50.000000,0.000485
387.0,50.439316,0.017181,50.000000,0.000337
388.0,50.818119,0.012096,50.000000,0.000208
389.0,51.060230,0.006078,50.000000,0.000115
390.0,51.194340,0.001855,50.000000,0.000056
391.0,50.530163,0.000000,50.000000,0.000284
392.0,51.122841,0.010362,50.000000,0.000076
393.0,51.387505,0.000000,50.000000,-0.000034
394.0,52.191013,-0.001810,50.000000,-0.000341
395.0,52.335304,-0.017000,50.000000,-0.000421
396.0,51.457638,-0.017428,50.000000,-0.000121
397.0,51.017208,-0.005089,50.000000,0.000032
398.0,50.134640,0.000864,50.000000,0.000348
399.0,49.973606,0.013770,50.000000,0.000415
