t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
3865.0,0.261799,0.261253,-0.091765,-0.007013,0.032753,0.000000,3.197202,0.000165,0.000000,0.000000
3870.0,0.261799,0.261179,0.052429,-0.010729,0.037215,0.000000,3.197199,-0.008510,0.000000,0.000000
3875.0,0.261799,0.261176,0.042550,-0.011150,0.037424,0.000000,3.197198,-0.005927,0.000000,0.000000
3880.0,0.261799,0.261710,0.273408,-0.028386,0.005355,0.000000,3.197196,-0.014824,0.000000,0.000000
3885.0,0.261799,0.262158,0.178530,-0.028890,-0.021497,0.000000,3.197197,-0.003344,-0.000145,0.000000
3890.0,0.261799,0.262291,-0.029960,-0.022383,-0.029495,0.000000,3.197202,0.017806,-0.000869,0.000000
3895.0,0.261799,0.262299,-0.035757,-0.021454,-0.029985,0.000000,3.197203,0.011286,0.000000,0.000000
3900.0,0.261799,0.262302,-0.026074,-0.021881,-0.030161,0.000000,3.197196,-0.017306,0.000000,0.000000
3905.0,0.261799,0.261921,-0.397781,-0.001942,-0.007322,0.000000,3.197196,-0.008937,-0.000145,0.000000
3910.0,0.261799,0.261570,-0.010311,-0.012587,0.013783,0.000000,3.197198,-0.007987,0.000000,0.000000
3915.0,0.261799,0.261552,0.011988,-0.014868,0.014867,0.000000,3.197199,0.004201,0.001737,0.000000
3920.0,0.261799,0.261549,0.009650,-0.015375,0.015019,0.000000,3.197203,0.000201,0.000000,0.000000
3925.0,0.261799,0.261548,0.015245,-0.015375,0.015097,0.000000,3.197200,-0.002415,-0.000145,0.000000
3930.0,0.261799,0.261548,0.004756,-0.015375,0.015108,0.000000,3.197199,0.000218,0.000000,0.000000
3935.0,0.261799,0.261549,0.011931,-0.014870,0.015040,0.000000,3.197200,0.003343,0.000000,0.000000
3940.0,0.261799,0.262164,0.171763,-0.031678,-0.021876,0.000000,3.197201,0.005939,-0.000145,0.000000
3945.0,0.261799,0.262281,-0.002429,-0.023313,-0.028905,0.000000,3.197201,0.007259,0.000000,0.000000
3950.0,0.261799,0.262302,-0.015985,-0.021881,-0.030177,0.000000,3.197200,-0.001189,0.000000,0.000000
3955.0,0.261799,0.262303,-0.024318,-0.022383,-0.030223,0.000000,3.197202,0.016611,0.000000,0.000000
3960.0,0.261799,0.261761,-0.290068,-0.004224,0.002287,0.000000,3.197201,-0.003319,0.000145,0.000000
3965.0,0.261799,0.261272,-0.138326,-0.004646,0.031638,0.000000,3.197199,-0.008802,0.000000,0.000000
3970.0,0.261799,0.261181,0.044462,-0.011658,0.037081,0.000000,3.197198,-0.008817,0.000000,0.000000
3975.0,0.261799,0.261176,0.044998,-0.011150,0.037413,0.000000,3.197198,-0.007292,0.000000,0.000000
3980.0,0.261799,0.261439,0.194140,-0.021034,0.021601,0.000000,3.197198,-0.004168,0.000000,0.000000
3985.0,0.261799,0.261912,0.375927,-0.035898,-0.006734,0.000000,3.197199,0.001386,0.000000,0.000000
3990.0,0.261799,0.262275,-0.012610,-0.024669,-0.028540,0.000000,3.197202,0.012366,0.000000,0.000000
3995.0,0.261799,0.262294,-0.038433,-0.021956,-0.029663,0.000000,3.197203,-0.012436,-0.000723,0.000000
4000.0,0.261799,0.262301,-0.021773,-0.021454,-0.030116,0.000000,3.197192,-0.036268,-0.000869,0.000000
4005.0,0.261799,0.262305,-0.020013,-0.022308,-0.030336,0.000000,3.197193,-0.010475,0.001737,0.000000
4010.0,0.261799,0.261762,-0.284727,-0.004224,0.002232,0.000000,3.197203,0.017394,0.000000,0.000000
4015.0,0.261799,0.261465,-0.228589,-0.002367,0.020061,0.000000,3.197206,0.041165,0.000000,0.000000
4020.0,0.261799,0.261191,0.020195,-0.009291,0.036519,0.000000,3.197205,0.009068,0.000000,0.000000
4025.0,0.261799,0.261177,0.053587,-0.011238,0.037336,0.000000,3.197201,-0.006981,0.000000,0.000000
4030.0,0.261799,0.261377,0.231990,-0.020867,0.025334,0.000000,3.197197,-0.025669,-0.000869,0.000000
4035.0,0.261799,0.261788,0.203848,-0.025599,0.000663,0.000000,3.197192,-0.041383,0.000869,0.000000
4040.0,0.261799,0.262265,0.019894,-0.024744,-0.027954,0.000000,3.197194,-0.009035,-0.000145,0.000000
4045.0,0.261799,0.262294,-0.026258,-0.021881,-0.029685,0.000000,3.197199,0.010619,0.000000,0.000000
4050.0,0.261799,0.262301,-0.026418,-0.021454,-0.030110,0.000000,3.197203,0.014907,0.000000,0.000000
4055.0,0.261799,0.262302,-0.030959,-0.021881,-0.030186,0.000000,3.197203,0.009973,0.000000,0.000000
4060.0,0.261799,0.261583,-0.450586,-0.004225,0.012977,0.000000,3.197201,0.004680,0.000000,0.000000
4065.0,0.261799,0.261234,-0.069824,-0.007013,0.033900,0.000000,3.197201,0.003830,0.000000,0.000000
4070.0,0.261799,0.261178,0.048042,-0.011150,0.037259,0.000000,3.197199,-0.003166,0.000000,0.000000
4075.0,0.261799,0.261175,0.051189,-0.011150,0.037431,0.000000,3.197200,0.012217,0.000000,0.000000
4080.0,0.261799,0.261490,0.402565,-0.021030,0.018557,0.000000,3.197201,0.003401,0.000000,0.000000
4085.0,0.261799,0.262059,0.290484,-0.032608,-0.015605,0.000000,3.197199,-0.014645,0.000000,0.000000
4090.0,0.261799,0.262284,-0.028681,-0.022308,-0.029068,0.000000,3.197199,0.001182,0.000000,0.000000
4095.0,0.261799,0.262297,-0.040885,-0.021378,-0.029874,0.000000,3.197201,-0.003107,-0.000869,0.000000
4100.0,0.261799,0.262302,-0.028687,-0.021881,-0.030162,0.000000,3.197197,-0.007939,0.000000,0.000000
4105.0,0.261799,0.262099,-0.216770,-0.013516,-0.017998,0.000000,3.197196,-0.027916,0.000145,0.000000
4110.0,0.261799,0.261485,-0.259461,-0.009291,0.018881,0.000000,3.197196,-0.003221,0.000000,0.000000
4115.0,0.261799,0.261223,-0.040452,-0.007942,0.034581,0.000000,3.197200,0.010204,0.000000,0.000000
4120.0,0.261799,0.261178,0.047011,-0.012167,0.037277,0.000000,3.197207,0.044011,0.000723,0.000000
4125.0,0.261799,0.261174,0.047548,-0.011150,0.037497,0.000000,3.197204,0.017978,0.000145,0.000000
4130.0,0.261799,0.261772,0.237205,-0.028465,0.001634,0.000000,3.197203,0.010847,0.000000,0.000000
4135.0,0.261799,0.262166,0.157945,-0.029317,-0.021980,0.000000,3.197200,-0.013940,0.000145,0.000000
