t_ms,M1_pos_ref,M1_pos_est,M1_speed_fb,M1_iq,M1_speed_ref,M2_pos_ref,M2_pos_est,M2_speed_fb,M2_iq,M2_speed_ref
1035.0,-0.640663,0.046048,0.182422,0.000000,5.263860,0.016827,-0.000000,0.000000,inf,1.745329
1040.0,1.744328,0.214459,0.014621,0.210185,0.000000,5.263858,0.009831,-0.000000,0.000000,inf
1045.0,1.745329,1.744232,0.246578,0.014044,0.230362,0.000000,5.263855,-0.005593,-0.000000,0.000000
1050.0,inf,1.745329,1.744783,0.465261,-0.004610,0.114706,0.000000,5.263853,-0.012425,-0.000000
1055.0,0.000000,inf,1.745329,1.746197,0.557996,-0.035688,-0.182197,0.000000,5.263852,-0.012681
1060.0,-0.000000,0.000000,inf,1.745329,1.746272,-0.221453,-0.006102,-0.197994,0.000000,5.263854
1065.0,-0.003638,-0.000000,0.000000,inf,1.745329,1.746353,-0.223090,-0.007947,-0.215042,0.000000
1070.0,5.263856,0.000651,-0.000000,0.000000,inf,1.745329,1.745908,-0.409844,0.007023,-0.121565
1075.0,0.000000,5.263855,-0.004133,-0.000000,0.000000,inf,1.745329,1.744448,-0.562564,0.042709
1080.0,0.185001,0.000000,5.263857,0.004196,-0.000000,0.000000,inf,1.745329,1.744306,0.174787
1085.0,0.017383,0.214816,0.000000,5.263855,-0.003969,-0.000597,0.000000,inf,1.745329,1.744236
1090.0,0.264584,0.013123,0.229586,0.000000,5.263855,-0.002094,-0.000917,0.000000,inf,1.745329
1095.0,1.744782,0.462711,-0.001492,0.114906,0.000000,5.263852,-0.015093,-0.000917,0.000000,inf
1100.0,1.745329,1.746236,0.497605,-0.037533,-0.190433,0.000000,5.263854,-0.002833,-0.000000,0.000000
1105.0,inf,1.745329,1.746581,-0.154720,-0.015536,-0.262781,0.000000,5.263858,0.012347,-0.000000
1110.0,0.000000,inf,1.745329,1.746379,-0.466371,-0.007024,-0.220499,0.000000,5.263855,-0.001717
1115.0,-0.000000,0.000000,inf,1.745329,1.745123,-0.895224,0.041214,0.043359,0.000000,5.263856
1120.0,0.003053,0.000917,0.000000,inf,1.745329,1.744328,0.039430,0.029008,0.210310,0.000000
